stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
16680,PA00100,"Av. Cesáreo Alierta N.º 117",,41.6374550688095,-0.867443723980679,,,,,Europe/Madrid
16687,PA00103,"Ciudad Escolar Pignatelli",,41.6437826601967,-0.922253944812213,,,,,Europe/Madrid
16688,PA00104,"Av. Cesáreo Alierta N.º 22",,41.6454339233536,-0.878314077792195,,,,,Europe/Madrid
16692,PA00106,"Av. Cesáreo Alierta N.º 44 / Av. De San José",,41.6409812178821,-0.874797729840581,,,,,Europe/Madrid
16695,PA00107,"Av. Cesáreo Alierta N.º 72",,41.6395060294846,-0.872502492854752,,,,,Europe/Madrid
16696,PA00108,"Av. Cesáreo Alierta N.º 94",,41.6385891774598,-0.870533594040565,,,,,Europe/Madrid
16699,PA00109,"Pabellón Príncipe Felipe",,41.6371939319692,-0.868314641514622,,,,,Europe/Madrid
16700,PA00110,"Av. Cesáreo Alierta / P. Príncipe Felipe",,41.6351382121299,-0.864273899954751,,,,,Europe/Madrid
16703,PA00111,"Av. De La Ilustración N.º 28",,41.6305504217555,-0.936023125793048,,,,,Europe/Madrid
16704,PA00112,"Av. De La Ilustración N.º 32 / Ibón",,41.6314303630366,-0.939491825033514,,,,,Europe/Madrid
16707,PA00113,"Av. De La Ilustración N.º 21",,41.6300648698028,-0.935911780290333,,,,,Europe/Madrid
16708,PA00114,"Av. De La Ilustración / Depósito",,41.6274115737818,-0.925452262351252,,,,,Europe/Madrid
16711,PA00115,"Av. Ilustración  / Parque Félix De Azara",,41.6276816870292,-0.925536602720768,,,,,Europe/Madrid
16712,PA00116,"Av. De La Ilustración / De La Mesta",,41.6299922962456,-0.941011789352627,,,,,Europe/Madrid
16715,PA00117,"Av. De La Ilustración / Ibón",,41.6312941468688,-0.939187461763331,,,,,Europe/Madrid
16716,PA00118,"Av. De La Ilustración / Iglesia",,41.6282882586271,-0.927903122523684,,,,,Europe/Madrid
16719,PA00119,"Av. De La Ilustración / Supermercado",,41.6290416793625,-0.931550431160421,,,,,Europe/Madrid
16720,PA00120,"Av. De La Ilustración / Iglesia",,41.6285428152825,-0.928029044265916,,,,,Europe/Madrid
16723,PA00121,"Av. De La Ilustración / Centro Comercial",,41.629506506285,-0.931387961190969,,,,,Europe/Madrid
16724,PA00122,"Av. De La Jota N.º 16",,41.6606934824525,-0.862019107076508,,,,,Europe/Madrid
16727,PA00123,"Av. De La Jota N.º 42 / C.S.  La Jota",,41.6612936834939,-0.859202881755626,,,,,Europe/Madrid
16728,PA00124,"Av. De Los Pirineos / Colegio",,41.6628180294337,-0.881078658907683,,,,,Europe/Madrid
16732,PA00126,"Av. De Los Pirineos / Tv Aragón",,41.6617566103023,-0.880793766268568,,,,,Europe/Madrid
16740,PA00130,"Avda. De Los Pirineos (Macanaz)",,41.6602894959544,-0.880319805894401,,,,,Europe/Madrid
16743,PA00131,"Av. De Los Pirineos / Valle Broto",,41.6657941655355,-0.880759671915973,,,,,Europe/Madrid
16747,PA00133,"Av. Gómez Laguna N.º 6",,41.6429477618659,-0.906943594929544,,,,,Europe/Madrid
16748,PA00134,"Av. Gómez Laguna N.º 20",,41.641915157265,-0.910110201391913,,,,,Europe/Madrid
16751,PA00135,"Av. Gómez Laguna N.º 25",,41.6416023100268,-0.910231548033636,,,,,Europe/Madrid
16752,PA00136,"Av. Gómez Laguna N.º 15",,41.642346183995,-0.907897677158258,,,,,Europe/Madrid
16755,PA00137,"Av. Gómez Laguna N.º 48",,41.640697176167,-0.913747832897709,,,,,Europe/Madrid
16759,PA00139,"Av. Gómez Laguna N.º 49",,41.6405680954334,-0.913440531345923,,,,,Europe/Madrid
16760,PA00140,"Av. Gómez Laguna / Vía Ibérica",,41.6232793760034,-0.913827887201861,,,,,Europe/Madrid
16763,PA00141,"Av. Francisco De Goya N.º 2",,41.6425633360899,-0.886837338453487,,,,,Europe/Madrid
16764,PA00142,"Av. Francisco De Goya N.º 3",,41.6423953329333,-0.886747460087758,,,,,Europe/Madrid
16767,PA00143,"Av. Francisco De Goya N.º 47 / Estación Cercanías",,41.643808828823,-0.891462845231892,,,,,Europe/Madrid
16768,PA00144,"Av. Francisco De Goya N.º 50",,41.6439675013637,-0.890958164395771,,,,,Europe/Madrid
16771,PA00145,"Av. Francisco De Goya N.º 59",,41.6450624252704,-0.893091338378709,,,,,Europe/Madrid
16772,PA00146,"Av. Francisco De Goya N.º 66",,41.6452698319059,-0.893005162241813,,,,,Europe/Madrid
16775,PA00147,"Av. Francisco De Goya N.º 83",,41.6467278794408,-0.893819641105482,,,,,Europe/Madrid
16776,PA00148,"Av. Francisco De Goya N.º 90",,41.6469191200661,-0.893569200469865,,,,,Europe/Madrid
16779,PA00149,"Av. Peñaflor N.º 56",,41.7591747865379,-0.796500333945048,,,,,Europe/Madrid
16784,PA00152,"Av. De Madrid N.º 29 / Aljafería",,41.6555408256427,-0.895993367058476,,,,,Europe/Madrid
16788,PA00154,"Av. De Madrid N.º 36",,41.6541755035486,-0.901838876469877,,,,,Europe/Madrid
16791,PA00155,"Av. De Madrid N.º 38",,41.6541451697575,-0.901963661681596,,,,,Europe/Madrid
16796,PA00158,"Av. De Madrid N.º 94 / Plaza Huesca",,41.6530419344834,-0.906341483340819,,,,,Europe/Madrid
16800,PA00160,"Av. De Madrid N.º 108",,41.652655497223,-0.907965003658,,,,,Europe/Madrid
16803,PA00161,"Av. De Madrid N.º 117",,41.6541066562652,-0.901716694702366,,,,,Europe/Madrid
16804,PA00162,"Av. De Madrid N.º 119",,41.6540292809815,-0.90204421463609,,,,,Europe/Madrid
16807,PA00163,"Av. De Madrid N.º 134 / Rioja",,41.6522288315298,-0.909905921462747,,,,,Europe/Madrid
16811,PA00165,"Av. De Madrid N.º 139",,41.6535865021024,-0.90376845291221,,,,,Europe/Madrid
16815,PA00167,"Av. De Madrid N.º 158",,41.6515495380151,-0.913032496995209,,,,,Europe/Madrid
16819,PA00169,"Av. De Madrid N.º 170",,41.6512537904144,-0.914348788801021,,,,,Europe/Madrid
16823,PA00171,"Av. De Madrid N.º 183",,41.6526248984226,-0.907666169801566,,,,,Europe/Madrid
16827,PA00173,"Av. De Madrid N.º 215",,41.6521926265394,-0.909560145416855,,,,,Europe/Madrid
16831,PA00175,"Av. De Madrid N.º 220 / Los Enlaces",,41.6506574766229,-0.917207294227315,,,,,Europe/Madrid
16832,PA00176,"Av. De Madrid N.º 241",,41.6516137309804,-0.912186446765379,,,,,Europe/Madrid
16836,PA00178,"Av. De Madrid N.º 259",,41.6511875725272,-0.914085489176058,,,,,Europe/Madrid
16840,PA00180,"Av. De Madrid N.º 285 / Los Enlaces",,41.6505414441804,-0.916930401200509,,,,,Europe/Madrid
16843,PA00181,"Avenida De Madrid Nº 285 / Supermercado",,41.6504182188234,-0.917000941948361,,,,,Europe/Madrid
16844,PA00182,"Av. De Navarra N.º 1",,41.6545976293743,-0.901631765487061,,,,,Europe/Madrid
16847,PA00183,"Av. De Navarra N.º 12",,41.6548998965093,-0.901728165874282,,,,,Europe/Madrid
16848,PA00184,"Av. De Navarra N.º 30",,41.6552075073747,-0.904134125328536,,,,,Europe/Madrid
16851,PA00185,"Av. De Navarra N.º 33",,41.6548864282003,-0.903997403476381,,,,,Europe/Madrid
16852,PA00186,"Av. De Navarra N.º 71",,41.6553730898574,-0.907416706309432,,,,,Europe/Madrid
16855,PA00187,"Av. De Navarra N.º 119",,41.656570860754,-0.912407068997988,,,,,Europe/Madrid
16856,PA00188,"Av. De Navarra N.º 183",,41.6585149015614,-0.918845757692637,,,,,Europe/Madrid
